date,open,high,low,close,volume
2015-06-03,2078.51,2087.95,2059.34,2063.16,541167
2015-06-04,2070.49,2082.60,2062.75,2072.86,400364
2015-06-05,2062.22,2075.02,2060.91,2068.10,394291
2015-06-08,2068.51,2068.51,2056.50,2065.19,393564
2015-06-09,2063.40,2073.75,2057.21,2064.03,421881
2015-06-10,2079.13,2080.03,2049.13,2051.32,427361
2015-06-11,2065.07,2065.07,2051.10,2056.61,457020
2015-06-12,2068.45,2074.78,2044.87,2052.17,388258
2015-06-15,2041.07,2049.68,2033.72,2042.32,313946
2015-06-16,2045.01,2045.77,2008.46,2028.72,381408
2015-06-17,2035.48,2037.12,2021.50,2034.86,354723
2015-06-18,2046.19,2052.00,2036.78,2041.88,390973
2015-06-19,2056.54,2057.71,2044.71,2046.96,400329
2015-06-22,2059.60,2068.07,2050.30,2055.16,266962
2015-06-23,2071.30,2086.09,2066.21,2081.20,329799
2015-06-24,2086.69,2087.68,2076.78,2085.53,400754
2015-06-25,2077.84,2088.16,2073.95,2085.06,575912
2015-06-26,2083.40,2097.01,2080.79,2090.26,492774
2015-06-29,2056.44,2068.85,2054.33,2060.49,503807
2015-06-30,2054.83,2075.02,2049.44,2074.20,392413
2015-07-01,2077.27,2100.34,2072.54,2097.89,471566
2015-07-02,2107.11,2110.81,2098.76,2107.33,565339
2015-07-03,2107.51,2109.68,2094.02,2104.41,419549
2015-07-06,2076.06,2089.86,2052.23,2053.93,474043
2015-07-07,2067.04,2067.93,2028.98,2040.29,502809
2015-07-08,2045.88,2046.33,2010.83,2016.21,453118
2015-07-09,2000.19,2027.81,1983.78,2027.81,408458
2015-07-10,2036.89,2037.84,2024.76,2031.17,381307
2015-07-13,2033.25,2063.28,2030.21,2061.52,426287
2015-07-14,2070.44,2070.44,2052.21,2059.23,503078
2015-07-15,2068.38,2079.90,2060.66,2072.91,619129
2015-07-16,2073.29,2088.33,2071.02,2087.89,697930
2015-07-17,2101.22,2101.22,2068.36,2076.79,819227
2015-07-20,2077.09,2081.43,2068.19,2073.31,870680
2015-07-21,2082.18,2088.24,2069.21,2083.62,727407
2015-07-22,2071.06,2075.94,2059.45,2064.73,1160824
2015-07-23,2068.93,2069.20,2053.52,2065.07,739793
2015-07-24,2060.66,2060.66,2040.30,2045.96,611869
2015-07-27,2034.82,2048.15,2032.44,2038.81,543243
2015-07-28,2026.33,2045.55,2015.91,2039.10,498527
2015-07-29,2053.62,2055.95,2037.62,2037.62,520573
2015-07-30,2040.24,2044.93,2019.03,2019.03,509318
2015-07-31,2026.98,2030.16,2004.70,2030.16,448192
